"env_name","env_mode","val_type","val_min","val_max","val_regex","val_enum","val_list","meta_description","meta_allowed"
"ENSHROUDED_ENABLE_TEXT_CHAT","soft","bool","null","null","null","null","null","Enable in-game text chat.","Allowed: true | false"
"ENSHROUDED_ENABLE_VOICE_CHAT","soft","bool","null","null","null","null","null","Enable in-game voice chat.","Allowed: true | false"
"ENSHROUDED_IP","soft","string","null","null","^([0-9]{1,3}\.){3}[0-9]{1,3}$","null","null","Server bind IP (IPv4).","IPv4 address, e.g. 0.0.0.0"
"ENSHROUDED_LOG_DIR","soft","string","null","null","^[^[:cntrl:]]*$","null","null","Log directory (relative to /home/enshrouded/server or absolute path).","Allowed: single-line string"
"ENSHROUDED_NAME","soft","string","null","null","^[^[:cntrl:]]*$","null","null","Server name shown in the server browser.","Allowed: single-line string"
"ENSHROUDED_QUERY_PORT","soft","int","1","65535","null","null","null","A2S query port.","Allowed: integer 1..65535"
"ENSHROUDED_SAVE_DIR","soft","string","null","null","^[^[:cntrl:]]*$","null","null","Savegame directory (relative to /home/enshrouded/server or absolute path).","Allowed: single-line string"
"ENSHROUDED_SLOT_COUNT","soft","int","1","16","null","null","null","Max player slots.","Allowed: integer 1..16"
"ENSHROUDED_TAGS","soft","string","null","null","null","null","separator=,;trim=true;itemNoEmpty=true;itemRegex=^[A-Za-z0-9._-]+$","Comma-separated server tags written to enshrouded_server.json .tags array.","Comma-separated; each tag: A-Z a-z 0-9 . _ - (empty clears all tags)"
"ENSHROUDED_VOICE_CHAT_MODE","soft","string","null","null","null","Proximity|Global","null","Voice chat mode.","Allowed: Proximity | Global"
"ENSHROUDED_GS_AGGRO_POOL_AMOUNT","soft","string","null","null","null","Few|Normal|Many|Extreme","null","Game setting override (Custom): AGGRO_POOL_AMOUNT.","Allowed: Few | Normal | Many | Extreme"
"ENSHROUDED_GS_BOSS_DAMAGE_FACTOR","soft","number","0.2","5","null","null","null","Game setting override (Custom): BOSS_DAMAGE_FACTOR.","Allowed: number 0.2..5"
"ENSHROUDED_GS_BOSS_HEALTH_FACTOR","soft","number","0.2","5","null","null","null","Game setting override (Custom): BOSS_HEALTH_FACTOR.","Allowed: number 0.2..5"
"ENSHROUDED_GS_CURSE_MODIFIER","soft","string","null","null","null","Easy|Normal|Hard","null","Game setting override (Custom): CURSE_MODIFIER.","Allowed: Easy | Normal | Hard"
